handle,location,review_title,rating_text,review_text,review_date,value_for_money,product_quality,customer_service,return_claim_made,incentivised_review,user_reviews_count,store_location,user_reviews_likes,rating_value,website,brand,page
goodgrief,,Best Dry Dog Food with a good price,5 out of 5 stars,"For many years i used to purchase large packets of MY DOG roast chicken dried dog food and & our long haired Chihuahua would never eat 30% of the product that was named ""meat & meat by products""... (and as the old saying goes, that if a dog does not eat it there is something wrong with it) & we would throw it away, after years of wasting money on an inferior product i decided to check every retailer (all of the supermarkets & pet shops) concerning dry dog food brands & the ingredients, strangely a large majority of the chicken dry dog food brands used the same ""meat & meat by products"". When i checked the ingredients at my local ALDI i noticed that they did not have the ""meat & meat by products"" (whatever that means) & decided to try the Natural Elements Grain Free Chicken. For the last 2 years our dogs love it and consume 100% of the product and have not had to dispose of 30% of the MY DOG product .",2022-09-29T02:18:27.000Z,,,,,,10,,1,5,ProductReview.com.au,ALDI,3
Fredo,,Poor Warranty after 60 days,1 out of 5 stars,"I purchased 4 5w LED Sensor Flood lights, one lasted 2 weeks and was rusted out, the second lasted 80 days, and stopped working, and after I sealed all the joints, which leave 2 still working, these items claim to be IP65 which means totally sealed, I have contacted the After Sales Support a number of times and received no answer, but even if they contact me I will have to send the item to them, which to mail it to their PO Box, would cost me $25.00, but the item only cost $24.99 so it will then cost me $49.99, which is not worthwhile due if th...e item is repaired, it may fail again and I will be up for more costs, Aldi may be cheap and if the item fails in 60 days you can return it, but after that forget it, they make it so hard most people drop out, this is a ploy that is used by Aldi and their After Sales Support, if I buy from Bunnings it may be dearer but in the 12 months warranty they will send it away or replace it, at no cost to me",2022-09-28T22:44:02.000Z,,,,,,4,,1,1,ProductReview.com.au,ALDI,3
Michael S,,Never Buy Products With Warranties,1 out of 5 stars,"You need to contact an answering service to lodge a request for someone to call you back. I have rang 5 times. Each time a callback comes through, it shows as a ""private number"" & my phone does not ring or vibrate. The call goes directly to message bank where I am informed I must ring the answering service again to register another request for callback! Frustrated, I explained my predicament to the callback operator & asked I be given a phone number to contact the service centre. I received a curt response from the service centre stating they did not have a phone number I could ring!!Because my claim was small I have given up & bought a new product elsewhere.DO NOT RISK BUYING SOMETHING EXPENSIVE WITH A WARRANTY.",2022-09-22T05:49:43.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,3
Mark M.,,Aldi review,5 out of 5 stars,Purchase multiple products for my diet this week including 5 star beef mince for chilli con carn and chicken for mini meals and salmon fillets for a recipe my sister recommends for dinnerMay go into Aldi for shopping sometime to save money,2022-09-20T13:12:16.000Z,,,,,,110,,30,5,ProductReview.com.au,ALDI,3
Sharon Mooney,,Salad quality,1 out of 5 stars,The rocket is consistently terrible ( wet) . ‘Use by’date 6 days away but already slimy- that is the norm in my experience . So sorry I gave them another go rather than choosing Woolworths,2022-09-20T09:42:22.000Z,,,,,,2,,2,1,ProductReview.com.au,ALDI,3
Bob,,Can not contact to comment on a product. ????? Why?,1 out of 5 stars,I have tried in every way possible to contact Aldi to question in regards to a product they sell but am unable to. They seem to have worded all the questions to get a certain answer why is ALDI so hard to contact. I could find no email address on the internet anywhere why is Aldi so hard to contact.,2022-09-20T08:08:45.000Z,,,,,,2,,1,1,ProductReview.com.au,ALDI,3
Lhamo,"Perth, WA",Rude and bad day. Budget? Not really. Doesn't even deserve 1 star. That's the only way to rate.,1 out of 5 stars,I was packing while the check out was scanning. She was throwing a heavy product meat on the veggies. I asked her if she could wait while I move the veggies out the way. She said that's how Aldi works. While I tried to put couple of things in the bag she said you need to pay now. She wanted me to stop straight away and pay so that she could scan next customer. It made me feel extremely rushed and bad. Later on i went to woolies and bought products that were actually similar budget to Aldi. I realised why should i go to Aldi when the staff treats poorly and ruins entire day.,2022-09-18T07:44:22.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
gairodwell,,Will shop elsewhere,1 out of 5 stars,"Also store Riverlink Ipswich Qld.Shopped there yesterday, had to throw out bag of tomatoes today as they went rotten, poor selection in the meat department, very rude girl on the checkout, yelling loudly at my husband ""not there, put it over there"" when he went to put the shopping basket down. This is not the first time this girl has been rude but it is definitely the last time.would rather shop elsewhere.",2022-09-13T04:37:39.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Content88,,Closing time is not 20 minutes to 8,2 out of 5 stars,"1. Entered Aldi Balwyn North this evening for a quick shop. Parked in the underground carpark and took the lift to the ground floor. Trolley tag in hand, was looking for a trolley. I asked the cashier where were the trolleys, and he said downstairs. So back downstair I go to grab my trolley, then back in the lift to the ground floor, to finally commence my shop.2. As soon as I pushed my trolley through the entry gates, I heard the announcement, ""this store will be closing shortly, please proceed to the registers"". I thought I had 19 minutes to... go, but I was going to be quick. Before I even made it to the end of the first aisle, the announcement was repeated. There are only 5 aisles at the store. I heard the announcement every 30-45 seconds! This is disrespectful to shoppers. I spent a total of $42.91 and checked out at 19:51, frazzled. I asked the cashier who controls the announcements, he said he is instructed to push the button every so often. Seriously? As a former checkout chick and front end controller, we used to advise customers 5 minutes before store close with one announcement, followed by another announcement 1 minute before the store closes. Aldi please review your procedures, and also ensure trolleys are available at all times.",2022-09-12T11:48:20.000Z,,,,,,5,,6,2,ProductReview.com.au,ALDI,4
Felix,,"Never buy ALDI Arabica coffee, rubbish and bad no coffee taste, falke reviews online",1 out of 5 stars,"Very bad coffee and as described, no taste of arabica",2022-09-10T23:51:06.000Z,,,,,,3,,2,1,ProductReview.com.au,ALDI,4
Ian G.,,50/50,3 out of 5 stars,Best to avoid all their chicken products as there is very little meat on them.,2022-09-09T10:18:49.000Z,,,,,,14,,4,3,ProductReview.com.au,ALDI,4
Annoyed,,True Wireless Earbuds are not so true,1 out of 5 stars,"My partner recently bought me a set of Bauhn earbuds to use. Lovely packaging, proudly proclaiming the use of recycled plastic with Aldi name on warranty inside the box. Greenwashing at its allegedly certified best, for something that does not work. I tried to ring the number on the box to get some assistance from Bauhn. Apparently they are too busy dealing with a myriad of calls. Or so the dulcet tones of the recorded young person tells me. This means they obviously can't spare the time to deal with me. So, off to Aldi online I go to find a nu...mber so I can speak to a real person. But, they have obviously outsourced all their real talking people for some super dooper, online, money saving, customer duping response. This apparently will be the game changer and solve every problem I have with Aldi and Bauhn. Except, that has no ability to inform them of their useless, stupid, non working, waste of time and money, dopey, earbud rubbish. Well done Aldi, seeya.",2022-09-08T08:08:11.000Z,,,,,,3,,1,1,ProductReview.com.au,ALDI,4
Gladys W.,,Aldi Coffee Pod Machine,1 out of 5 stars,"While we love your coffee, your coffee pod machines are garbage. We loose 150 mls of coffee per day as it goes into the discarded pod drawer. This machine is only 12 months old and getting worse, we will take it back for replacement, however, from reviews I don't expect much better. Can you please advise any other coffee pod machine that takes Aldi Pods.",2022-09-08T01:05:00.000Z,,,,,,3,,1,1,ProductReview.com.au,ALDI,4
Very Disappointed,"Greater Melbourne (Outer), VIC",Worst customer service experience,1 out of 5 stars,"Aldi Tarneit Gardens.I had a very nasty experience today. The assistant store manager at Aldi Tarneit Central absolutely berated and embarrassed me in front of the whole shop. I was paying half cash and half card. I paid $6 cash and there was $8.97 left on the till to go on card. Unbeknownst to me there was only $8.95 on the card. No problem. With technology nowadays it’s a 30 second transfer. But alas the reception at this Aldi is horrible so of course it took a bit longer. But honestly while he was walking around, banging the cash register,... berating me and shouting at me and teaching me a life lesson on how I should have organised my life better and been a better customer and showing with his actions how frustrated he was that I wasting his time the money had transferred and I was ready to pay. But he still wasn’t happy. I offered to go back in line inside he refused. I offered to go to another till. He refused. I walked away and just cried and cried in my car. I had one baby in my arms and 3 year old with me. I don’t know. Is this a classic example of when you put a man of colour in a position of power they think they can talk to you and shout at you with impunity? Does he have impunity because he is the assistant store manager? Isn’t leadership about leading by example? What gives him the right to treat me like this? Could it be because I am a black African? Could it be because I am a woman? Or god forbid I am both a black African and I am a woman. I spoke to another staff member about this man because this is not the first time he has had a go at me. This staff member said maybe it because he has two children. I have four children and I don’t treat people like he does. This is not acceptable. Dear Aldi Management Do I need to prove my worthiness and self worth every time I meet the intimidation and bullying tactics employed by this man. Is this the culture you guys are promoting in your stores. If he can treat me like this a random stranger at the check out how is he going to treat his colleagues especially when he is promoted from assistant to full manager.",2022-09-06T09:59:03.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Anna L.,,"Aldi took two lots of money from my account, not one",1 out of 5 stars,"Monthly renewals are handled by direct debit, where aldi pops into my account and takes their monthly payment. This month they took two lots of money out. The lady on the phone said one lot of money will be reimbursed, however I find that all trust I had for aldi has gone. If I have to check on them every month to make sure they're not stealing from me, the relationship has come to an end.",2022-09-06T00:54:21.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Hellen David B.,,Speediest check-out.,5 out of 5 stars,I love the speedy Aldi checkout. We don't need self checkout in Sebastopol these people are amazing. Always fully stocked. Always get a park.,2022-09-05T01:16:56.000Z,,,,,,,,,5,ProductReview.com.au,ALDI,4
Michael D.,,Out of date stock,1 out of 5 stars,"Bought Nescafé instant coffee in august but didn’t notice that the special offer chance to win $3000 in very small writing ,expired the previous April!",2022-09-02T08:44:21.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Liz G,,The linen sheets you will love to hate,1 out of 5 stars,"I was so thrilled initially with getting linen at such a ""good"" price from Aldi in NSW, but it was a huge fail. The sheets are less than 18months old and have been used for a week at a time, for probably 6 or 7 times max. The sheets constantly make fine fluff/dust, and the fitted sheet has become so thin where we lay that there's now a hole! You can feel, and see (ref pictures attached) a significant difference between the thickness of the flat part and around the edges - its just disappointing and terrible.",2022-09-01T12:00:22.000Z,,,,,,3,,3,1,ProductReview.com.au,ALDI,4
Paul S.,"Sydney, NSW",Very poor customer service,2 out of 5 stars,"One instance at the Bonnyrigg store, a team member walked between myself and the product shelving whilst I was attempting to select a product. No ""excuse me"" or apology for cutting me off, he just walked on past oblivious to what he'd done.Another instance at the same store. This particular day I had to use the hand baskets, as I had misplaced my trolley token. Struggling with 2x heavy baskets at the checkout. It wasn't until I had repacked the baskets and was about to leave the store that a team member screamed at me at the top of her voice ...""you can't take the basket outside..."". I had every intention of returning them after I packed my car. There was no offer of assistance (e.g. empty cartons, apology, etc.) just a disrespectful rant from the checkout. Aldi either needs to revisit their customer service training, or employ team members that have previous customer service (retail) experience. A team member screaming at an unsuspecting customer at the top of their voice, in front of a shop full of other customers, is not what call ""good customer service"". I'm going to Woolies today. It'll probably cost me more, be it only for the higher level of checkout service, it will be worth it.",2022-08-28T01:48:04.000Z,,,,,,,,,2,ProductReview.com.au,ALDI,4
LorenC,,Aldi Clontarf: half hour wait at checkout while confused person fumbled with paywave,1 out of 5 stars,"He then took a leisurely stroll to his car, presumably to find a card that did work, or perhaps had money in it. We all patiently waited for him to return as we had no choice really. Nope, second card didn't work either. I ha...d had enough at this stage and said it was unfair to keep a long line of customers waiting while this was going on. No response at all from the checkout operator. C'mon Aldi. You really think it's fair to hold up a long line of customers in situations like this? He couldn't put his goods in a trolley until all was sorted? A half hour wait for the rest of us and absolutely nothing was resolved during this time.",2022-08-25T04:36:35.000Z,,,,,,15,,5,1,ProductReview.com.au,ALDI,4
Bee,,Very poor quality and disappointing customer service by action spares!!,1 out of 5 stars,"The look of the 3 drawer dresser is stunning, however looks can be very deceiving. The MDF was incredibly flimsy and wasn't able to be shifted without breaking away from the screws.I contacted action spares customer service and they refused a replacement dresser.",2022-08-24T02:59:55.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Wayne T.,,Why would you,3 out of 5 stars,This company is owned by the German brose Albright.nothing comes back to Australia. Support the Aussie companies who give you a full choice of their own cheapest and also full brand names which Aldi always uses in their comparison against their unknown products??,2022-08-23T09:28:10.000Z,,,,,,3,,2,3,ProductReview.com.au,ALDI,4
Roger GARLICK,,BARE Shelves,2 out of 5 stars,"Aldi was a comprehensive shopping experience before the Covid pandemic.Now a good while post Covid the amount of products missing from the shelves is even worse!At least a third of the items on my shopping list were unavailable, especially the quality items.",2022-08-23T08:44:39.000Z,,,,,,5,,1,2,ProductReview.com.au,ALDI,4
Ricky M.,,Everytime check out time longer than shopping time. Terrible,1 out of 5 stars,Staff terrible always have too wait so much longer to checkout. What a slow pace food store.,2022-08-23T02:46:18.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Darren F.,,Refused refund for the out-of-date product,1 out of 5 stars,Aldi at Golden grove Adelaide refused a refund for out-of-date Kransky sausages. The store tries its best not to give you a receipt when you checkout. The rude young man stated I needed to provide a bank statement. I stated Aldi is the only one who sells these Kranskys in Australia and you can clearly see they're out of date by the expiration date. He basically accused me of scamming Aldi? I said I'm not the one cheating customers with out-of-date meats. I will go to Woollies and Coles from now on. If Aldi needs to treat their customers like that for $7 their not worth shopping at.,2022-08-21T06:32:47.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
not happy,,Where’s the ricotta and spinach ??,1 out of 5 stars,"These spinach and ricotta were terrible all pastry, where was the spinach and ricotta?? I wouldn’t recommend and I’ll not but again, waste of money, unfortunately I bought 2 packets the other will go in the bin",2022-08-20T10:55:01.000Z,,,,,,2,,2,1,ProductReview.com.au,ALDI,4
Saskia P.,"Illawarra, NSW",Disappointed,1 out of 5 stars,Ocean Royal mussels _only half opened so couldn't eat the rest .Big waste and disappointment,2022-08-16T09:49:02.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,4
Bella,,"Disgusting, tasteless, salty",1 out of 5 stars,"Do not waste your money on the Pork & Fennel Meatballs in Fettuccine as it is disgusting.Looks appealing in the packaging however give it a miss. Very salty, tasteless meatballs.",2022-08-14T02:58:40.000Z,,,,,,28,,31,1,ProductReview.com.au,ALDI,4
Gumby G.,"Greater Melbourne (Inner), VIC",Indulge coffee Mocha Ice cream - Bring it Back!,5 out of 5 stars,"I and a few of my friends, love this ice cream. It seems to mahe disapeared from the shelves. There are very few coffee flavoured ice creams on the market - the Connoseur is too sweet, the Aldi product gets it just right. I would pay extra for that flavour if you bring it back",2022-08-10T18:22:22.000Z,,,,,,,,,5,ProductReview.com.au,ALDI,4
Will H,,I’m not Down Down with Aldi having no stock.,1 out of 5 stars,"Aldi, Different, not Good.",2022-08-09T09:31:17.000Z,,,,,,12,,9,1,ProductReview.com.au,ALDI,4
miki7788,,Tried to Forgive after 3 Boycotts,2 out of 5 stars,"I must be the only person to not relate to their customer service /system. Or have the worse luck with staff ever. When Southport Park opened, I asked to chasier if I needed to know anything I should know as it was my first ALDI visit. “No” Back then bags were not a thing you had to buy @ Coles etc. So I get to the end, they do not supply bags! Causing her to “Sigh Heavily” and me being embarrassed for holding things up. I was mortified. I didn’t go back for a very long time. Until I was asked to purchase an ALDI product for someone.One che...ckout, no people waiting. The cashier was sleeping around the checkouts area. ( I had to vacuum my shop, I IMMEDIATLEY shut it down to serve), she carried on until she finished. I said “ You guys need to leave the Register unlike Coles etc” , she responded “ well! how do you expect to get cheaper prices if I don’t! Someone has to pay somewhere!” Thats was it for me for years after that! Until, ALDI was directly accross the road from my sons tutor in Oxenford. I needed Milk! Early evening! One guy floating in and out the Register area, one young gentlemen at the Register. I was last in line of three cutomers, sadly I only had milk and 3 other items, the two ahead of me had moderator shops. I got to my turn, He got up, left his station, grabbed a sleeping moj learning against the wall, ran it up and down 5 times in the area behind him…still no word…and sat back down like this was a procedure I should be familiar with. To his credit, he was very scriptedly courteous after that. What was that? Has this kind of thing happened to anyone else? I just don’t get this place?",2022-08-09T08:19:47.000Z,,,,,,15,,9,2,ProductReview.com.au,ALDI,4
Employee review,"South East Queensland, QLD",Aldis food and layout,1 out of 5 stars,Aldis food was horrid and with the new layout it is impossible to find anything,2022-08-06T01:21:12.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
Dunya Senanayake,"Greater Melbourne (Metropolitan), VIC",Uber Eats Asian Noodles,1 out of 5 stars,The worst product that I have ever come across. It taste so bad. I had to throw away the cooked food.,2022-08-02T10:26:51.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
Rodger,,Manager is sleeping in Chadstone outlet,1 out of 5 stars,"I visited Chadstone outlet in the morning around 10 am. Buy 2 yougult but no fast check out lane yet only 2 lanes for more than 20 customers que up. Manager is just useless, such a long que without open up more lane for check out.",2022-07-30T02:37:59.000Z,,,,,,4,,1,1,ProductReview.com.au,ALDI,5
Tamsin W.,,Spinach agnolotti,1 out of 5 stars,"Usually I love Aldi, but today we had their spinach agnolotti and it was BAD, different.They may as well have left out the pasta and just provided a package full of salt.We tried to get through a few mouthfuls, but our tastebuds shrivelled with every bite like a willy in the arctic.My baby was crying. My husband was crying. Even my dog didn’t want the leftovers. Avoid this product at all costs :(",2022-07-25T08:06:49.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
jelly,,"Poor quality, lack of product range, unfriendly staff & not a pleasant shopping experience.",2 out of 5 stars,"I hadn't been to Aldi for at least a year. The local Aldi had a very limited range of products, low quality, unfriendly staff at checkout, prices were not that competitive & I did not enjoy the shopping experience. I would rather shop at Coles - good product range, better quality, good specials &.friendly staff.",2022-07-22T00:39:14.000Z,,,,,,2,,,2,ProductReview.com.au,ALDI,5
Lady Sapphire,,Aldi Pricing,1 out of 5 stars,"2. Wastefully packed and labelled, on a cardboard tray, covered in plastic, Australian Duo Capsicums, one Red, one green, 375g pack, ($10.64 per kg)...My husband purchased the former yesterday and the latter product is advertised on the FRONT PAGE of your catalogue (2922 QLD) on sale till yesterday. Shame, shame, shame' Aldi does this quite often with products and I call it predatory pricing. I know it is 'Buyer Beware' but it is still very confusing for customers. I think we should have a big campaign about prepackaged items. As well as the different price per kg for the same product, it is very wasteful to have vegetables labelled and packed on trays with plastic covers.",2022-07-20T01:52:54.000Z,,,,,,4,,5,1,ProductReview.com.au,ALDI,5
Kay,,Forget Gardenline nasturtium trailing mixed seeds,1 out of 5 stars,"Extremely annoyed at the time wasted as only 3 of the packet of 25 seeds germinated! Same conditions, quality seed raising mix and under a seed raising dome! Epic fail, so should have just bought them from my nursery. Packet was new and fresh seeds but i had out in garden with the seedlings to identify them, so now water damaged usually i don’t keep them so lucky i did this time.",2022-07-19T02:49:47.000Z,,,,,,5,,5,1,ProductReview.com.au,ALDI,5
Bruce H,,Too many stars - pathetic non customer focused retailer,1 out of 5 stars,"Aldi are a retailer with exceptionally poor customer service.If you buy a bulky 'special buy' from the store expect no assistance to load such a heavy bulky item onto a trolley. Do not expect to be able to collect such an item from the receiving dock. Just struggle yourself, as Aldi are more concerned about your cash than customers. If this bulky item is faulty gain expect no assistance. I fully except buying items is the customers responsibility - however if the item is faulty, I believe the retailer is required to assist in the return ...of said item. It is called "" Duty of Care"" Aldi do not have a customer service contact phone number - just a web form - which times out after 5 minutes; hence its impossible to provide or share your negative experiences. If you purchase a new product and you require a spare part do to an initial failure, you deal with their agent, Action Spares - and equally pathetic non customer focused entity, you must sign a waiver to say you will accept a refurbished - second hand part - Really!! is this acceptable for a new product particularly during these pandemic times - you will also receive an email saying the part may take up to 28 days to be received. True, I could have asked for a refund however I would then have to borrow a suitable vehicle and incur additional costs to return the item. In short, pathetic retailer with a care factor of zero!! Item in question Air Resistance Rower - first one faulty after minimal use, second one fault parts- could not be assembled from new,,",2022-07-19T00:37:33.000Z,,,,,,45,,36,1,ProductReview.com.au,ALDI,5
Sara,,Fruits are awful,1 out of 5 stars,"The quality of the fruit is awful. Couple of times I bought some fruits like strawberries, mandarin, oranges and fig. I throw them away in rubbish bin. So tasteless.",2022-07-11T10:39:36.000Z,,,,,,2,,1,1,ProductReview.com.au,ALDI,5
David,,Long on promise short on delivery,1 out of 5 stars,Product very salty and tastelesspoor value for price pointDish and packaging only good featuresSuggest you delete from inventory,2022-07-10T09:35:49.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
JRS,,Aldi not a good choice.,1 out of 5 stars,"We have been with Aldi mobile for many years without problems. Recently we lost our internet connection so while waiting for it to be repaired I used my mobile to communicate. I quickly ran out of data so went to recharge using the app. No go, as there is a new app that I had to download. No SMS or prior warning of the change. It is very hard to download the app without sufficient data so I rang to recharge. I managed to do so however Aldi did not understand my request and failed to complete as I had requested. After I had the new app I discovered another problem apart from no data rollover. I rang back but achieved little. Now I find their signal strength has recently been reduced. Sorry Aldi, now searching for a new Telco.",2022-07-10T07:43:48.000Z,,,,,,4,,3,1,ProductReview.com.au,ALDI,5
Paul,,Aldi frozen fish Ocean royal not nice,1 out of 5 stars,"Just had Aldi Ocean royal crumbed fish for tea, have had them before and were ok. But these were disgusting followed all the cooking instructions, they literally tasted like all the bits that get cut of , were scooped up put through a mincer and shaped like a fillet then crumbed and frozen, I'm not even sure it was even fish and no the of cuts from other sea creatures. Not sure what to do with the rest as we only just opened the bag, hate to throw food away, but if you feel sick after eating it probably not worth eating again. Also the pac...ket says product of China made and packaged in China from Chinese products. Oh well another reason not to shop at Aldi, over 30 years of shopping in Aldi both in Australia and Germany, you're loosing me between empty shelves not horrible tasting food. Please sort yourselves out?",2022-07-09T08:36:45.000Z,,,,,,2,,1,1,ProductReview.com.au,ALDI,5
Mia,,"Strong Acidic Smell, Almost Urinal/Fecal Like",1 out of 5 stars,"Recently when I opened 2 packs of the Urban Eats Prawn Gyoza it instantly gave off a STRONG acidic smell which smells exactly like urine/fecal. I have been buying this product for 5 years, it never gave off this smell, only recently. It tastes the same but the smell is so strong that my eyes became all teary as I smelled it. Either there's too much acidity regulators or there's something else that's been recently added in the ingredients which doesn't sit right.",2022-07-03T10:44:18.000Z,,,,,,3,,12,1,ProductReview.com.au,ALDI,5
Aldi nuggets,,Aldi cocktail spring rolls,3 out of 5 stars,"Quite a tasty treat if you feel like being naughty, only negative is they burn my boxing bag in the back of my throat.",2022-07-02T04:32:53.000Z,,,,,,,,,3,ProductReview.com.au,ALDI,5
Sanguine,,Aldi more expensive by $11.80 on only 4 every day items.,1 out of 5 stars,The numbers tell the story. Major supermarkets are taking advantage of shoppers and adding to the high inflation rate. Save thousands a year by using different stores and not being loyal to the one store.,2022-06-28T22:36:22.000Z,,,,,,4,,7,1,ProductReview.com.au,ALDI,5
Dave,,ALDI WINS AGAIN,1 out of 5 stars,"We live near Castlemaine, but it's cheaper to drive to Kangaroo Flat and shop at ALDI. On Sunday 26th June I purchased a box of Tetley Decaff teabags at ALDI for $4.99, along with a week's groceries, topped up with fuel at APCO, and returned home. Today, 27th, I checked on IGA's price for rhe same teabags. Would you believe they were advertised at $8.08, or $3.09 MORE than ALDI. Whilst this is the biggest price gouge I've seen on a single article, it's typical of the IGA prices, which is why we drive to Bendigo, besides which the fuel is generally 15c per litre cheaper",2022-06-28T04:27:16.000Z,,,,,,25,,18,1,ProductReview.com.au,ALDI,5
Cheri,,Loose Di San bottle,1 out of 5 stars,"I used to like having the convenience of my local Aldi in lane cove but no more. I bought a few items today , put them in a think bag, put them othe front seat of my car. When I got home to remove the bag my front car seat was saturated with Di San stain remover. I looked in the bag and the top was completely off. I took the groceries back to exchange them because they were soaking wet. The young girl got the manager and from the beginning he pretty said I must have dropped the bag. Now if I had dropped the bag would I have put it on my front ....seat? After many heated words, I got them exchanged. He really embarrassed and enraged me by insisting I did it. I offer to take him to my car to show the large stain on my front seat. He refused. Insidently this happened before with vinegar and I didn't go back because it was a bottle by itself. Sorry to go on but I was really embarrassed at the situation. The photos show the stained seat, the saturated bag and the groceries I got replaced after heated argument. I wish I thought to take one of saturated items.",2022-06-27T23:54:23.000Z,,,,,,9,,8,1,ProductReview.com.au,ALDI,5
og justified,,"Aldi, cheaper, just as good & maybe better than Coles.",4 out of 5 stars,"In these times of rising prices, I was annoyed with Coles. I could see that Aldi hadn’t raised their prices to the extent Coles had. So I’ve been trying to do the majority of my shop at Aldi and I’ve been really happy with the savings and the quality so far. At least 90% of products are significantly cheaper in Aldi. Best eggs I’ve had in a long time. So cheap for free range and actually hold their shape when u crack them open. Tried about 7 different meat products. All fine. Don’t let Woolies or Coles be allowed to get away with inflated price...s…shop with yr feet and try Aldi. Maybe Coles won’t be so greedy if they lose enough customers like me. Only fault I will say is sometimes shelves are a bit empty, bakery shelves in particular and I have to go in Coles & get bread.",2022-06-27T12:55:44.000Z,,,,,,3,,14,4,ProductReview.com.au,ALDI,5
Shannon B,,Excellent Range and Great Price. Checkouts very stressful with a full shop.,5 out of 5 stars,Great range of products and prices cheaper than coles and woolworths. Excellent selection of basics and gourmet items. Wines are great for the price. Really drinkable wines for under $8 from the Barossa. Good they have bought back Catchet catfood as the cats love this. Checkout is really stressful if you have a full shop. Checkout operators move all your items forward before there is any time to sort the heavy stuff first and then scan them so quickly you left throwing them in any bag to keep up. Definately not for the low functional.,2022-06-26T07:42:43.000Z,,,,,,47,,21,5,ProductReview.com.au,ALDI,5
Nic,,Friendly staff,4 out of 5 stars,The staff at ‘kawana waters’ are so friendly. Every staff member is so polite & always talks to you.They actually open tills when needed :),2022-06-23T12:24:40.000Z,,,,,,42,,15,4,ProductReview.com.au,ALDI,5
Dean,,Aldi Dim Sims are TERRIBLE !,1 out of 5 stars,"The Aldi dim sims have deteriorated badly over the past 2 - 3 years. They are ALWAYS squashed in the bag (frozen), with the contents oozing out of each dim sim. They now reek of raw onion and have a strong raw onion flavour, even after steaming for a long time. It seems like they perhaps changed providers a few years ago - and the badly reduced quality is now evident. It’s now a sloppy, badly produced, poorly tasting product that badly brings down the Aldi brand name.",2022-06-22T00:19:32.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
Mannie,,Aldi sanctuary lakes rude teller,1 out of 5 stars,"Aldi sanctuary lakes, I was served by Gabriel who was absolutely rude. He pushed all my purchases and did not give me time to pack. He had no Customer skills and was not even greeting customers however after I told him that his Customer skills need a bit of honing he started greeting Customers. This guy either needs training of sent off . Sorry but I can’t stand rude people especially in supermarkets .",2022-06-19T07:38:09.000Z,,,,,,9,,6,1,ProductReview.com.au,ALDI,5
Amanda H.,"Greater Melbourne (Inner), VIC",Goliath zip bags quality has changed and not as good - sides split,3 out of 5 stars,I have been purchasing the Aldi Goliath zip lock sandwich bags for many years daily without any issues. Recently I have noticed a drop in quality. They are tearing along the side seam. I’ve noticed this now on several bags from my last two lunch bag size boxes purchased. Hopefully Aldi can rectify this with the supplier.,2022-06-13T01:57:52.000Z,,,,,,,,,3,ProductReview.com.au,ALDI,5
Tania,"Metropolitan Adelaide, SA",Water bottle,1 out of 5 stars,Bought a Long in length hot water bottle from Aldi bought it home. Filled it up with boiling hot water out the kettle whilst holding it and filling half way only the water came upLike a fountain continued to rise and erupted like a volcano and I received serious burns to my left upper and lower arm,2022-06-09T07:17:38.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
Lindy Manson,"Darling Downs, QLD",Won’t buy it again,1 out of 5 stars,"Tibaldi Felino Salami. I would not buy this product again. It looks aged, it smells aged and has no flavour. My friend said exactly the same when I brought up the product",2022-06-09T02:03:12.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,5
Helen,"South East Queensland, QLD",*No Online Customer Service*,1 out of 5 stars,No online chat. Mistyped email address on order and didn’t have a account. No one to talk to. Frustrated Annoyed,2022-06-08T02:06:56.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,6
Nell,"South East Queensland, QLD",Lamb shanks,1 out of 5 stars,"Experience home cook here. Lamb shanks are a fam favourite , tried and true recipe. The shanks had an unpleasant chemical smell and taste. Def won’t be buying again. First time I’ve bought Aldi meat… disappointed.",2022-06-06T10:42:36.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,6
Sharon van Rensburg,,Rotten iceberg lettuce,2 out of 5 stars,"Bought iceberg lettuce in a plastic bag. When I opened it today, the lettuce was rotten. It had leaves removed as well. Can't return it as I work away from home and don't have receipt. Iceberg lettuces cost around $5.99 at Coles so I thought this was a bargain buy. I wonder what has happened to staff ethics these days",2022-06-06T08:44:16.000Z,,,,,,2,,,2,ProductReview.com.au,ALDI,6
